18,4936	2,49794	0	0
0,981329	3,90667	0,2	0,4
13,8685	6,09516	0,4	0,8
7,03245	2,35908	0,6	1,2
2,58445	6,65944	0,8	1,6
8,17935	5,77776	1	2
19,1317	3,5023	1,2	2,4
9,10388	1,17588	1,4	2,8
7,35936	8,65719	1,6	3,2
5,89643	7,0983	1,8	3,6
9,83927	1,22166	2	4
12,2418	5,19883	2,2	4,4
12,4612	4,06323	2,4	4,8
12,1615	3,08969	2,6	5,2
19,0936	1,94983	2,8	5,6
3,29325	0,0204474	3	6
10,4206	5,16923	3,2	6,4
7,563	1,95349	3,4	6,8
5,37253	7,70013	3,6	7,2
15,2336	7,59362	3,8	7,6
17,876	3,99426	4	8
16,3817	1,94067	4,2	8,4
8,53224	3,43638	4,4	8,8
6,58771	8,923	4,6	9,2
0,157109	6,54286	4,8	9,6
2,0968	9,67284	5	10
1,38256	1,95685	5,2	9,86667
10,6248	8,01386	5,4	9,73333
6,25597	8,31355	5,6	9,6
12,8739	9,71252	5,8	9,46667
11,043	0,0244148	6	9,33333
19,7323	7,06595	6,2	9,2
19,1625	1,05533	6,4	9,06667
2,81951	5,38224	6,6	8,93333
15,065	5,75182	6,8	8,8
0,957762	2,91849	7	8,66667
16,5793	0,777612	7,2	8,53333
2,21826	0,837123	7,4	8,4
8,33888	7,23289	7,6	8,26667
3,13614	4,74654	7,8	8,13333
4,41538	7,00522	8	8
3,13916	4,38368	8,2	7,86667
3,16938	2,42592	8,4	7,73333
18,9794	3,00546	8,6	7,6
3,24672	3,28776	8,8	7,46667
15,8191	3,0491	9	7,33333
2,12762	0,287484	9,2	7,2
17,9515	9,62584	9,4	7,06667
7,55877	8,9584	9,6	6,93333
18,6217	8,4048	9,8	6,8
3,07874	3,15317	10	6,66667
11,3131	9,45982	10,2	6,53333
16,7605	2,13935	10,4	6,4
19,3728	3,63231	10,6	6,26667
16,5847	0,371715	10,8	6,13333
10,7426	2,97617	11	6
19,1728	4,00189	11,2	5,86667
10,2665	1,8482	11,4	5,73333
16,4808	3,18827	11,6	5,6
19,1347	0,20539	11,8	5,46667
8,19506	4,27229	12	5,33333
14,3501	5,67156	12,2	5,2
1,82791	0,875881	12,4	5,06667
13,967	5,93524	12,6	4,93333
10,8466	7,99158	12,8	4,8
5,78223	8,04437	13	4,66667
11,843	8,11945	13,2	4,53333
2,44909	6,15528	13,4	4,4
9,87674	3,52092	13,6	4,26667
0,867727	4,3028	13,8	4,13333
14,5955	3,64696	14	4
9,84411	5,75274	14,2	3,86667
16,8596	1,80273	14,4	3,73333
3,06363	5,4973	14,6	3,6
6,0904	0,11536	14,8	3,46667
0,963201	7,45872	15	3,33333
19,0561	6,86483	15,2	3,2
19,765	2,96243	15,4	3,06667
2,91679	5,23972	15,6	2,93333
12,037	2,04199	15,8	2,8
17,8531	7,5811	16	2,66667
12,2612	4,138	16,2	2,53333
7,67781	4,17798	16,4	2,4
17,7618	9,75524	16,6	2,26667
0,380688	0,677206	16,8	2,13333
16,4741	9,63836	17	2
6,59134	3,16477	17,2	1,86667
8,72077	3,02957	17,4	1,73333
2,70288	4,99039	17,6	1,6
18,6616	1,57292	17,8	1,46667
19,0676	4,39131	18	1,33333
1,98139	0,421155	18,2	1,2
7,17748	6,97623	18,4	1,06667
1,90223	3,11777	18,6	0,933333
1,2611	2,14057	18,8	0,8
4,66373	1,80548	19	0,666667
10,6006	7,46574	19,2	0,533333
4,95861	9,3347	19,4	0,4
19,4006	0,169988	19,6	0,266667
9,68881	4,82284	19,8	0,133333
5,71878	9,67467	20	0
